dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label
auto_mpg,outer_0,claritree,4,0.1,0.1,3,313.0,quantile,0,0.8182141347740561,11.45931128766577,6027.635100223463,0.3363747596740722,11.307639593266105,0.817166421150364,12.632789141931651,0.7740188172679148,1.0,full
auto_mpg,outer_0,claritree,4,0.1,0.01,3,313.0,quantile,0,0.8230527035952527,11.081393749480249,5390.919582173873,0.2210676670074463,10.704682284936842,0.8269156567592733,11.815662745484568,0.7886359526792704,1.0,full
auto_mpg,outer_0,claritree,4,0.1,0.001,3,313.0,quantile,0,0.8210576168767975,11.161595553796026,5288.198387513455,0.193648099899292,10.670424596160458,0.8274695704023852,11.68347393174831,0.7910006073993368,1.0,full
auto_mpg,outer_0,claritree,4,0.1,0.0001,3,313.0,quantile,0,0.8207067449074154,11.177160423004477,5276.772148224995,0.1920962333679199,10.66993284821719,0.8274775214902863,11.670585746154654,0.7912311572320778,1.0,full
auto_mpg,outer_0,claritree,4,0.1,1e-05,3,313.0,quantile,0,0.8206695064032453,11.178824713542516,5275.615381950606,0.191657543182373,10.669927722576755,0.8274776043669271,11.66930858845935,0.7912540036204151,1.0,full
auto_mpg,outer_0,claritree,4,0.08,0.1,3,313.0,quantile,0,0.8182141347740561,11.45931128766577,5640.475234408767,0.5170302391052246,11.307639593266105,0.817166421150364,12.632789141931651,0.7740188172679148,1.0,full
auto_mpg,outer_0,claritree,4,0.08,0.01,3,313.0,quantile,0,0.8230527035952527,11.081393749480249,5003.759716359176,0.3558962345123291,10.704682284936842,0.8269156567592733,11.815662745484568,0.7886359526792704,1.0,full
auto_mpg,outer_0,claritree,4,0.08,0.001,3,313.0,quantile,0,0.8210576168767975,11.161595553796026,4901.038521698758,0.2811005115509033,10.670424596160458,0.8274695704023852,11.68347393174831,0.7910006073993368,1.0,full
auto_mpg,outer_0,claritree,4,0.08,0.0001,3,313.0,quantile,0,0.8207067449074154,11.177160423004477,4889.612282410299,0.2683329582214355,10.66993284821719,0.8274775214902863,11.670585746154654,0.7912311572320778,1.0,full
auto_mpg,outer_0,claritree,4,0.08,1e-05,3,313.0,quantile,0,0.8206695064032453,11.178824713542516,4888.455516135909,0.2681176662445068,10.669927722576755,0.8274776043669271,11.66930858845935,0.7912540036204151,1.0,full
auto_mpg,outer_0,claritree,4,0.05,0.1,3,313.0,quantile,0,0.8182141347740561,11.45931128766577,5059.735435686723,0.7908968925476074,11.307639593266105,0.817166421150364,12.632789141931651,0.7740188172679148,1.0,full
auto_mpg,outer_0,claritree,4,0.05,0.01,3,313.0,quantile,0,0.8326963418607912,10.603346626354444,4423.0199176371325,0.5649847984313965,10.704682284936842,0.8269156567592733,11.815662745484568,0.7886359526792704,1.0,full
auto_mpg,outer_0,claritree,4,0.05,0.001,3,313.0,quantile,0,0.858833700987196,8.83435046612275,4307.57570880901,0.5411741733551025,7.453982913039908,0.8794763167472445,8.273540504269254,0.8519990757757006,2.0,full
auto_mpg,outer_0,claritree,4,0.05,0.0001,3,313.0,quantile,0,0.8582248419719632,8.859277661100188,4256.946082471078,0.4896450042724609,7.385098186117066,0.8805901160550048,8.072952633295273,0.8555872845089526,2.0,full
auto_mpg,outer_0,claritree,4,0.05,1e-05,3,313.0,quantile,0,0.8580720409952081,8.866335648895452,4247.987175560515,0.4878597259521484,7.383885814848923,0.8806097189240227,8.08173895867023,0.8554301106514779,2.0,full
auto_mpg,outer_0,claritree,4,0.03,0.1,3,313.0,quantile,0,0.8393974406777982,10.16411456009906,4503.750380022539,1.0377421379089355,8.76723653216079,0.8582422778357022,11.554452005116746,0.7933086113762094,2.0,full
