dataset,method,test_r2,test_r2_std,time,time_std,leaves,gap_to_streed,speedup_vs_streed,streed_r2,streed_time
airfoil,claritree,0.8809793866783044,0.0129788073406431,0.686193323135376,0.0273270110713148,16.0,0.004441083267030743,325.0590504844267,0.8854204699453352,223.05335006713867
airfoil,greedy,0.8674548350467027,0.0147064449243877,0.0085120201110839,0.0002329969274874,15.2,0.017965634898632454,26204.51398801214,0.8854204699453352,223.05335006713867
airfoil,guide,0.83817216,0.0414344150461666,0.0543911999999999,0.0052247532669017,14.0,0.04724830994533513,4100.908787949872,0.8854204699453352,223.05335006713867
airfoil,m5,0.5404603509481256,0.0429028242006286,0.0269535064697265,0.0009003903665963,16.0,0.3449601189972096,8275.485429610673,0.8854204699453352,223.05335006713867
airfoil,pilot,0.4931517294153854,0.0015463026700825,0.007683515548706,0.0007448191068845,2.0,0.3922687405299498,29030.116312409056,0.8854204699453352,223.05335006713867
airfoil,streed,0.8854204699453352,0.0142808413018195,223.05335006713867,109.58111742089456,16.0,0.0,1.0,0.8854204699453352,223.05335006713867
airfoil,streed_s,0.7558744154216853,0.0213277959396763,105.20970072746276,2.5591729328478934,16.0,0.12954605452364987,2.1200834953892738,0.8854204699453352,223.05335006713867
california_housing,claritree,0.7499375138107128,0.0100610711994569,69.51568279266357,1.7980514745970282,16.0,-0.04455788796105309,8.626740743776567,0.7053796258496597,599.6937730789184
california_housing,greedy,0.7298552652758404,0.0099603215425555,0.3013531684875488,0.0052111530463997,15.8,-0.024475639426180695,1990.0032114767573,0.7053796258496597,599.6937730789184
california_housing,guide,0.72788542,0.0078456049707463,2.7807,0.0113780490419051,15.0,-0.022505794150340264,215.66288095764318,0.7053796258496597,599.6937730789184
california_housing,m5,0.598330680506012,0.0110978751208166,0.0723982334136962,0.0018234467592432,16.0,0.10704894534364773,8283.265278755673,0.7053796258496597,599.6937730789184
california_housing,pilot,0.6449988384746896,0.0089408288002719,0.7458034038543702,0.2076198741410599,3.4,0.0603807873749701,804.0909574556166,0.7053796258496597,599.6937730789184
california_housing,streed,0.7053796258496597,0.0069592276171803,599.6937730789184,0.0117540141346327,8.0,0.0,1.0,0.7053796258496597,599.6937730789184
california_housing,streed_s,0.6564970289431865,0.0067102694086683,599.81902551651,0.2837269060257147,8.0,0.04888259690647323,0.9997911829530853,0.7053796258496597,599.6937730789184
temperature_max,claritree,0.8769022371907145,0.0057570458674879,311.1962483406067,9.545023975189762,15.6,-0.07302314182878666,1.9271158572367064,0.8038790953619278,599.7112248897553
temperature_max,greedy,0.8408877433487232,0.0108050537565658,0.6105594635009766,0.0123313065262556,13.0,-0.03700864798679537,982.2322979828746,0.8038790953619278,599.7112248897553
temperature_max,guide,0.83605012,0.0116676899473288,0.684788,0.0084909993522552,10.0,-0.0321710246380722,875.7618779677146,0.8038790953619278,599.7112248897553
temperature_max,m5,0.7197990962138553,0.0103718790542337,0.0655260086059569,0.001128764480253,16.0,0.08407999914807252,9152.262401577686,0.8038790953619278,599.7112248897553
temperature_max,pilot,0.7819793104518148,0.016005256580743,0.46975998878479,0.0797034828023123,4.4,0.021899784910113018,1276.6332578496795,0.8038790953619278,599.7112248897553
temperature_max,streed,0.8038790953619278,0.0176955820380772,599.7112248897553,0.0122765837695202,4.8,0.0,1.0,0.8038790953619278,599.7112248897553
temperature_max,streed_s,0.755915772625593,0.0069477797565808,599.8389996528625,0.2639766419541025,8.0,0.04796332273633486,0.9997869849023134,0.8038790953619278,599.7112248897553
walmart,claritree,0.2247900867192742,0.0194294633460736,3.3013762474060058,0.032125821698982,15.8,-0.010293233411894198,181.66255363373355,0.21449685330738,599.7364396095276
walmart,greedy,0.1868940698106397,0.0129012634181466,0.0288217544555663,0.0005246940077797,13.8,0.027602783496740307,20808.463986261646,0.21449685330738,599.7364396095276
walmart,guide,0.1766732999999999,0.0182547402568483,0.599676,0.0084005553387856,15.0,0.0378235533073801,1000.1007871075841,0.21449685330738,599.7364396095276
walmart,m5,0.1019638259413122,0.006862645942301,0.0328657627105712,0.0020842189931307,15.6,0.1125330273660678,18248.060904322894,0.21449685330738,599.7364396095276
walmart,pilot,0.0201920491086547,0.0076393940850343,0.0107401371002196,0.0015370234351838,1.0,0.1943048041987253,55840.66888655126,0.21449685330738,599.7364396095276
walmart,streed,0.21449685330738,0.0140090361405652,599.7364396095276,0.0063394672764921,14.8,0.0,1.0,0.21449685330738,599.7364396095276
walmart,streed_s,0.1786353508010887,0.0115439991029049,599.5235281944275,0.042532354937186,15.4,0.035861502506291304,1.000355134377697,0.21449685330738,599.7364396095276
