dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
california_housing,outer_2,streed,5,0.1,3,20,20,0.4496349845092773,7304536943.824542,57.682281255722046,7298150995.5068655,0.45016131660276193,7408892926.907733,0.4523814154798108,3
california_housing,outer_2,streed,5,0.08,3,20,20,0.4496349845092773,7304536943.824542,150.26351070404053,7298150995.5068655,0.45016131660276193,7408892926.907733,0.4523814154798108,3
california_housing,outer_2,streed,5,0.05,3,20,20,0.5080246669656872,6529182191.601867,599.5944674015045,6506703561.874042,0.509788531106094,6755213673.809664,0.5006972584597666,4
california_housing,outer_2,streed,5,0.03,3,20,20,0.5080246669656872,6529182191.601867,599.4907104969025,6506703561.874042,0.509788531106094,6755213673.809664,0.5006972584597666,4
california_housing,outer_2,streed,5,0.01,3,20,20,0.5856948388256075,5498275121.49489,599.5075800418854,5443880448.724013,0.5898610400988981,5601402817.556893,0.5859796716541068,9
california_housing,outer_2,streed,5,0.008,3,20,20,0.5964079355117643,5356628065.403367,599.5305676460266,5327975644.410737,0.5985932443301152,5530555036.667648,0.5912162922760703,10
california_housing,outer_2,streed,5,0.005,3,20,20,0.6264588366777929,4957703511.612079,599.5498423576355,5155905770.739652,0.6115568940065724,5350951385.455192,0.6044914601347418,13
california_housing,outer_2,streed,5,0.003,3,20,20,0.635695118559272,4835124396.908985,599.5721819400787,5108592362.955558,0.6151214601355904,5371268046.4142,0.6029897808384812,14
california_housing,outer_2,streed,5,0.001,3,20,20,0.6560923051305381,4564356277.073798,599.5712103843689,5037620787.248706,0.6204684196283863,5272946858.176308,0.610257062261274,16
california_housing,outer_2,streed,5,0.0005,3,20,20,0.6562260217270125,4562430871.354964,599.5751104354858,5037620787.248706,0.6204684196283863,5272946858.176308,0.610257062261274,16
california_housing,outer_2,streed,5,0.0001,3,20,20,0.6562260217270125,4562430871.354964,599.5623881816864,5037620787.248706,0.6204684196283863,5272946858.176308,0.610257062261274,16
