dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
energe_c,outer_3,m5,4,20,3,0.1,,,0.7979623551074889,18.106359829138277,0.0033538341522216797,18.083753053429636,0.7984891640699721,16.959763087082393,0.8169715110373417,2
energe_c,outer_3,m5,4,20,3,0.08,,,0.7979623551074889,18.106359829138277,0.0033812522888183594,18.083753053429636,0.7984891640699721,16.959763087082393,0.8169715110373417,2
energe_c,outer_3,m5,4,20,3,0.05,,,0.8702721257248563,11.602436410703405,0.005299568176269531,11.502324686360204,0.8718273216937423,9.237759376559296,0.9003067948879502,3
energe_c,outer_3,m5,4,20,3,0.03,,,0.8702721257248563,11.602436410703405,0.00528717041015625,11.502324686360204,0.8718273216937423,9.237759376559296,0.9003067948879502,3
energe_c,outer_3,m5,4,20,3,0.01,,,0.9069705266572955,8.305951004469547,0.008860588073730469,8.704329864454236,0.9030059312348204,8.259786725648869,0.9108610022565233,5
energe_c,outer_3,m5,4,20,3,0.008,,,0.9174070878234373,7.393117745931296,0.01176142692565918,6.9244636361569905,0.9228393325452736,6.757380209318788,0.9270748604973257,7
energe_c,outer_3,m5,4,20,3,0.005,,,0.9306098064012168,6.212011346195681,0.015752553939819336,5.872305463071046,0.9345637391085976,5.401951953960596,0.9417025403889426,9
energe_c,outer_3,m5,4,20,3,0.003,,,0.9361619509198883,5.711409927040095,0.02066516876220703,4.7910237216104665,0.9466126753528511,5.1183326932943345,0.9447633381402974,12
energe_c,outer_3,m5,4,20,3,0.001,,,0.9469405801121095,4.74712981442901,0.024997472763061523,4.450980963301221,0.9504018390445026,4.773198025911665,0.9484880055389708,15
energe_c,outer_3,m5,4,20,3,0.0005,,,0.9483781452041145,4.618787922435005,0.026817798614501953,4.366248885080064,0.9513460253459848,4.653314116294502,0.9497817836840723,16
energe_c,outer_3,m5,4,20,3,0.0001,,,0.9483781452041145,4.618787922435005,0.027456998825073242,4.366248885080064,0.9513460253459848,4.653314116294502,0.9497817836840723,16
