dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
auto_mpg,outer_0,streed,5,0.1,3,20,20,0.6218667976402749,23.188229980377304,0.004227638244628906,18.507297427827684,0.700754928059479,20.493559789155928,0.6334017114105002,3
auto_mpg,outer_0,streed,5,0.08,3,20,20,0.6218667976402749,23.188229980377304,0.004321575164794922,18.507297427827684,0.700754928059479,20.493559789155928,0.6334017114105002,3
auto_mpg,outer_0,streed,5,0.05,3,20,20,0.6623276429562471,21.31167068235704,0.03524303436279297,11.45273298943728,0.8148204014819247,15.318747022714694,0.7259711587620667,5
auto_mpg,outer_0,streed,5,0.03,3,20,20,0.7294658720150359,16.74274915876178,0.8805060386657715,11.45273298943728,0.8148204014819247,15.318747022714694,0.7259711587620667,5
auto_mpg,outer_0,streed,5,0.01,3,20,20,0.7600319987756018,15.207246128532375,40.87796950340271,7.808537936373498,0.8737435054668248,11.418742160560786,0.7957362519262562,9
auto_mpg,outer_0,streed,5,0.008,3,20,20,0.7314890062215783,16.637044519841442,47.4697208404541,7.808537936373498,0.8737435054668248,11.418742160560786,0.7957362519262562,9
auto_mpg,outer_0,streed,5,0.005,3,20,20,0.7516976952640189,14.967474871685402,54.54063129425049,6.196438442409977,0.8998095926914799,9.120545732581334,0.8368474539823081,13
auto_mpg,outer_0,streed,5,0.003,3,20,20,0.7665653035079076,14.09953046490056,57.83903622627258,4.285839666033039,0.9307021241654011,8.537918072400283,0.847269767397096,21
auto_mpg,outer_0,streed,5,0.001,3,20,20,0.7591988159151214,14.975903751158583,53.17663645744324,3.028948217765114,0.9510248413706061,15.347719824193653,0.7254528798711807,32
auto_mpg,outer_0,streed,5,0.0005,3,20,20,0.7871428609081926,13.100585065716615,49.585829973220825,3.028948217765114,0.9510248413706061,15.347719824193653,0.7254528798711807,32
auto_mpg,outer_0,streed,5,0.0001,3,20,20,0.7873152079101854,13.08880621956277,48.66914749145508,3.028948217765114,0.9510248413706061,15.347719824193653,0.7254528798711807,32
