dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
california_housing,outer_0,cart,5,0.1,3,20,20,quantile,1,0.6191398189413625,5120953853.88805,0.017853736877441406,4891966351.026753,0.6362622824595038,4988648431.229846,0.6109925927081062,32
california_housing,outer_0,cart,5,0.08,3,20,20,quantile,1,0.6191398189413625,5120953853.88805,0.018059253692626953,4891966351.026753,0.6362622824595038,4988648431.229846,0.6109925927081062,32
california_housing,outer_0,cart,5,0.05,3,20,20,quantile,1,0.6191398189413625,5120953853.88805,0.018077373504638672,4891966351.026753,0.6362622824595038,4988648431.229846,0.6109925927081062,32
california_housing,outer_0,cart,5,0.03,3,20,20,quantile,1,0.6191398189413625,5120953853.88805,0.018048524856567383,4891966351.026753,0.6362622824595038,4988648431.229846,0.6109925927081062,32
california_housing,outer_0,cart,5,0.01,3,20,20,quantile,1,0.6191398189413625,5120953853.88805,0.01806044578552246,4891966351.026753,0.6362622824595038,4988648431.229846,0.6109925927081062,32
california_housing,outer_0,cart,5,0.008,3,20,20,quantile,1,0.6191398189413625,5120953853.88805,0.018057823181152344,4891966351.026753,0.6362622824595038,4988648431.229846,0.6109925927081062,32
california_housing,outer_0,cart,5,0.005,3,20,20,quantile,1,0.6191398189413625,5120953853.88805,0.018034696578979492,4891966351.026753,0.6362622824595038,4988648431.229846,0.6109925927081062,32
california_housing,outer_0,cart,5,0.003,3,20,20,quantile,1,0.6191398189413625,5120953853.88805,0.018050193786621094,4891966351.026753,0.6362622824595038,4988648431.229846,0.6109925927081062,32
california_housing,outer_0,cart,5,0.001,3,20,20,quantile,1,0.6191398189413625,5120953853.88805,0.018053770065307617,4891966351.026753,0.6362622824595038,4988648431.229846,0.6109925927081062,32
california_housing,outer_0,cart,5,0.0005,3,20,20,quantile,1,0.6191398189413625,5120953853.88805,0.018056869506835938,4891966351.026753,0.6362622824595038,4988648431.229846,0.6109925927081062,32
california_housing,outer_0,cart,5,0.0001,3,20,20,quantile,1,0.6191398189413625,5120953853.88805,0.018024682998657227,4891966351.026753,0.6362622824595038,4988648431.229846,0.6109925927081062,32
