dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label,pilot_target_complexity,pilot_grid_index,pilot_min_sample_leaf,pilot_min_sample_split,n_outer_merged
auto_mpg,outer_0,pilot,4,313.0,3,313.0,,,0.8517053459152596,9.288082406569544,0.0180697441101074,7.93672676519912,0.8716708162774125,9.023427351916462,0.838584752553597,3.0,full,313.0,0,1.0,2.0,
auto_mpg,outer_0,pilot,4,313.0,3,156.0,,,0.8508621671148431,9.329879826663594,0.0173351764678955,7.93672676519912,0.8716708162774125,9.023427351916462,0.838584752553597,3.0,full,156.0,1,3.0,6.0,
auto_mpg,outer_0,pilot,4,313.0,3,78.0,,,0.8510657648327381,9.319787234984526,0.0170681476593017,7.93672676519912,0.8716708162774125,9.023427351916462,0.838584752553597,3.0,full,78.0,2,5.0,10.0,
auto_mpg,outer_0,pilot,4,313.0,3,32.0,,,0.8529987335115429,9.22204506494768,0.0157139301300048,8.18814916658954,0.8676055595923167,9.212511394199032,0.8352023296356883,3.0,full,32.0,3,10.0,20.0,
auto_mpg,outer_0,pilot,4,313.0,3,24.0,,,0.8525960223086564,9.24921468250176,0.0151436328887939,8.18814916658954,0.8676055595923167,9.212511394199032,0.8352023296356883,3.0,full,24.0,4,14.0,28.0,
auto_mpg,outer_0,pilot,4,313.0,3,20.0,,,0.8525960223086564,9.24921468250176,0.0151183605194091,8.18814916658954,0.8676055595923167,9.212511394199032,0.8352023296356883,3.0,full,20.0,5,16.0,32.0,
auto_mpg,outer_0,pilot,4,313.0,3,16.0,,,0.8534107127543441,9.196437026096929,0.0167031288146972,8.059024389415685,0.8696933821598944,9.37112363538776,0.8323650004080008,3.0,full,16.0,6,20.0,40.0,
auto_mpg,outer_0,pilot,4,313.0,3,14.0,,,0.8534172137085011,9.19611476572726,0.0165584087371826,8.059024389415685,0.8696933821598944,9.37112363538776,0.8323650004080008,3.0,full,14.0,7,23.0,46.0,
auto_mpg,outer_0,pilot,4,313.0,3,12.0,,,0.8539139601661825,9.162241127377586,0.016209602355957,8.059024389415685,0.8696933821598944,9.37112363538776,0.8323650004080008,3.0,full,12.0,8,27.0,54.0,
auto_mpg,outer_0,pilot,4,313.0,3,10.0,,,0.8529177517684511,9.230850898191486,0.0155847072601318,8.059024389415685,0.8696933821598944,9.37112363538776,0.8323650004080008,3.0,full,10.0,9,32.0,64.0,
auto_mpg,outer_0,pilot,4,313.0,3,8.0,,,0.8414439314334597,9.81419471802912,0.0129363536834716,8.233169853023009,0.8668776187028846,9.015876428415522,0.8387198269702038,3.0,full,8.0,10,40.0,80.0,
auto_mpg,outer_0,pilot,4,313.0,3,6.0,,,0.8426239270201702,9.734584246364465,0.0126667022705078,8.372499210756045,0.8646247979525379,9.204436423927913,0.8353467784436192,2.0,full,6.0,11,53.0,106.0,
auto_mpg,outer_0,pilot,4,313.0,3,4.0,,,0.7488958120201809,15.218913448475192,0.0080728530883789,9.4862960672116,0.8466157816854724,9.400330687601222,0.8318425311314885,2.0,full,4.0,12,79.0,158.0,
auto_mpg,outer_0,pilot,4,313.0,3,2.0,,,-0.0012256070122059,61.87171778098439,0.0047388076782226,17.813618488759914,0.71197104455809,16.03537941235286,0.7131517066858017,2.0,full,2.0,13,156.0,312.0,
auto_mpg,outer_1,pilot,4,313.0,3,313.0,,,0.8437922644905319,9.340825904878894,0.0220990180969238,6.714503407097268,0.8900850045469422,8.338530864180598,0.8589067607024411,5.0,full,313.0,0,1.0,2.0,
auto_mpg,outer_1,pilot,4,313.0,3,156.0,,,0.8441102574390597,9.318997171028352,0.0190165042877197,7.048738674433936,0.884613644170428,8.333167273854325,0.8589975160579978,4.0,full,156.0,1,3.0,6.0,
auto_mpg,outer_1,pilot,4,313.0,3,78.0,,,0.8436183433287944,9.352764782039934,0.0185580253601074,7.048738674433936,0.884613644170428,8.333167273854325,0.8589975160579978,4.0,full,78.0,2,5.0,10.0,
auto_mpg,outer_1,pilot,4,313.0,3,32.0,,,0.8414551221924201,9.508124694136413,0.0182523727416992,7.048738674433936,0.884613644170428,8.333167273854325,0.8589975160579978,4.0,full,32.0,3,10.0,20.0,
auto_mpg,outer_1,pilot,4,313.0,3,24.0,,,0.8423328666768262,9.45087966522683,0.0174648761749267,7.048738674433936,0.884613644170428,8.333167273854325,0.8589975160579978,4.0,full,24.0,4,14.0,28.0,
auto_mpg,outer_1,pilot,4,313.0,3,20.0,,,0.8422941463088195,9.44308338786029,0.0170891284942626,7.048738674433936,0.884613644170428,8.333167273854325,0.8589975160579978,4.0,full,20.0,5,16.0,32.0,
auto_mpg,outer_1,pilot,4,313.0,3,16.0,,,0.829583499996159,10.144657242743206,0.0165145397186279,7.048738674433936,0.884613644170428,8.333167273854325,0.8589975160579978,4.0,full,16.0,6,20.0,40.0,
auto_mpg,outer_1,pilot,4,313.0,3,14.0,,,0.8086265514371563,11.403449330688366,0.0161316394805908,7.048738674433936,0.884613644170428,8.333167273854325,0.8589975160579978,4.0,full,14.0,7,23.0,46.0,
auto_mpg,outer_1,pilot,4,313.0,3,12.0,,,0.8077999283863132,11.45183159171378,0.0155708789825439,7.048738674433936,0.884613644170428,8.333167273854325,0.8589975160579978,4.0,full,12.0,8,27.0,54.0,
