dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label
insurance,outer_0,claritree,4,0.008,0.0001,3,1070.0,quantile,0,0.8619841554525699,20177686.37555775,24512240393.02784,4.405746936798096,19409349.361531496,0.8666726563190043,19511692.47257961,0.8700786156533639,3.0,full
insurance,outer_0,claritree,4,0.008,1e-05,3,1070.0,quantile,0,0.861981560706771,20178059.03898429,24506990412.335384,4.388024806976318,19409343.84945432,0.8666726941827468,19511099.604414634,0.870082563350512,3.0,full
insurance,outer_0,claritree,4,0.005,0.1,3,1070.0,quantile,0,0.8503969972103832,21863026.0544288,26423961266.46285,4.825911521911621,20526766.386867844,0.8589968583828153,20574952.884981584,0.8629987447044766,3.0,full
insurance,outer_0,claritree,4,0.005,0.01,3,1070.0,quantile,0,0.8618515168673401,20198021.200773988,23637141474.66353,4.729231119155884,19450897.63587175,0.866387251540661,19586758.32898959,0.8695787789531055,3.0,full
insurance,outer_0,claritree,4,0.005,0.001,3,1070.0,quantile,0,0.8620049616597786,20174715.405315887,23162314355.160194,4.632071971893311,19409883.718821075,0.8666689856942621,19517720.53825239,0.8700384769192053,3.0,full
insurance,outer_0,claritree,4,0.005,0.0001,3,1070.0,quantile,0,0.8619841554525699,20177686.37555775,23110337158.54384,4.6762025356292725,19409349.361531496,0.8666726563190043,19511692.47257961,0.8700786156533639,3.0,full
insurance,outer_0,claritree,4,0.005,1e-05,3,1070.0,quantile,0,0.861981560706771,20178059.03898429,23105087177.85138,4.636811494827271,19409343.84945432,0.8666726941827468,19511099.604414634,0.870082563350512,3.0,full
insurance,outer_0,claritree,4,0.003,0.1,3,1070.0,quantile,0,0.849509673761665,21997304.680901725,24926251029.459686,5.027086496353149,19797090.60656054,0.8640091713524374,20815305.903683364,0.8613983198840509,7.0,full
insurance,outer_0,claritree,4,0.003,0.01,3,1070.0,quantile,0,0.8608157383374904,20339049.31010308,22702539318.34086,4.818593502044678,19450897.63587175,0.866387251540661,19586758.32898959,0.8695787789531055,3.0,full
insurance,outer_0,claritree,4,0.003,0.001,3,1070.0,quantile,0,0.8481084196748849,22194267.5338712,22180272148.907093,4.774506092071533,18910875.69918933,0.870096788063819,19075984.39193293,0.872979839987859,4.0,full
insurance,outer_0,claritree,4,0.003,0.0001,3,1070.0,quantile,0,0.754692955509935,34992885.12537626,22066772177.531998,4.764475584030151,17970505.805610698,0.8765564079950728,23017922.61140272,0.8467318827077738,6.0,full
insurance,outer_0,claritree,4,0.003,1e-05,3,1070.0,quantile,0,0.734363763958318,37773098.866025165,22034271746.7537,4.70283842086792,17968864.362224344,0.8765676834521956,23441030.593518943,0.8439145579246007,6.0,full
insurance,outer_0,claritree,4,0.001,0.1,3,1070.0,quantile,0,0.8467324181569067,22411737.833691355,22350986746.44509,4.94797945022583,18660483.44274493,0.8718167908216748,20573508.582423385,0.863008361798844,14.0,full
insurance,outer_0,claritree,4,0.001,0.01,3,1070.0,quantile,0,0.8470095484835566,22355159.51820372,21112688599.135616,4.844200372695923,18219947.931382693,0.8748429319062125,19731274.413907222,0.8686164980110888,6.0,full
insurance,outer_0,claritree,4,0.001,0.001,3,1070.0,quantile,0,0.8284965385160928,24974886.27544245,20371571965.409657,4.796626329421997,16952973.26546941,0.8835460761266021,26162331.991211884,0.8257943848381518,12.0,full
insurance,outer_0,claritree,4,0.001,0.0001,3,1070.0,quantile,0,0.8319090774466581,24536446.074478645,19969549868.08097,4.798025846481323,16862851.851624534,0.8841651411190912,28690027.725794274,0.8089633626443804,12.0,full
insurance,outer_0,claritree,4,0.001,1e-05,3,1070.0,quantile,0,0.724352340688546,39258734.322914325,19909874392.931267,4.801278591156006,16704124.385672372,0.8852554770706177,29545462.05462666,0.8032673312839166,13.0,full
insurance,outer_0,claritree,4,0.0005,0.1,3,1070.0,quantile,0,0.8450468015229085,22671219.95672847,21372290048.88191,4.915995836257935,18614087.12734114,0.8721354979238116,20661422.26760308,0.8624229760001692,16.0,full
insurance,outer_0,claritree,4,0.0005,0.01,3,1070.0,quantile,0,0.8445385502683064,22723456.203908503,20490300902.506973,4.887364387512207,17351018.76728097,0.8808118088190185,20979460.749890707,0.860305271451864,15.0,full
insurance,outer_0,claritree,4,0.0005,0.001,3,1070.0,quantile,0,0.8182007118968212,26511835.28222388,19343720295.85737,4.857367753982544,16894011.461707823,0.8839510984963758,23605272.76123104,0.8428209280497327,13.0,full
insurance,outer_0,claritree,4,0.0005,0.0001,3,1070.0,quantile,0,0.8310271675855468,24661939.77608773,18967700195.64381,4.765211820602417,16724222.910406765,0.8851174156207036,28729804.496439785,0.8086985033496592,13.0,full
insurance,outer_0,claritree,4,0.0005,1e-05,3,1070.0,quantile,0,0.8226028949921615,25846875.710042607,18872957745.890327,4.874341726303101,16596988.092689935,0.8859914212328414,29617000.46467609,0.802790982587839,14.0,full
