dataset,outer,method,depth,n_thresholds,lambda,cost_complexity,ridge_penalty,lasso_penalty,time_limit_s,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
walmart,outer_0,streed,4,20,,0.005,1e-05,0.001,230400.0,0.2020662598920003,254006200160.206,1780.8996934890747,230256898182.7892,0.2777236804301913,244485997032.2084,0.2287417143592847,16.0
walmart,outer_1,streed,4,20,,0.005,1e-05,0.001,230400.0,0.2020662598920003,254006200160.206,1743.8429052829742,229657392779.11343,0.2744786831580005,268690936623.52603,0.1754639832848173,16.0
walmart,outer_2,streed,4,20,,0.005,1e-05,0.001,230400.0,0.2020662598920003,254006200160.206,1724.814876079559,235383433302.25748,0.2630335026675993,246090108502.1512,0.2180643393435027,16.0
walmart,outer_3,streed,4,20,,0.005,1e-05,0.001,230400.0,0.2020662598920003,254006200160.206,1807.564973115921,230090317670.1005,0.2789619142327151,244550171125.79303,0.2252659711721176,16.0
walmart,outer_4,streed,4,20,,0.005,1e-05,0.001,230400.0,0.2020662598920003,254006200160.206,1760.4053869247437,230587589164.13596,0.2758508566697797,235399606721.32672,0.2608733433045979,16.0
walmart,mean,streed,4,20,,0.005,1e-05,0.001,230400.0,0.2020662598920003,254006200160.206,1763.5055669784547,231195126219.6793,0.2740097274316572,247843364001.00107,0.22168187029286407,16.0
walmart,std,streed,4,20,,0.005,1e-05,0.001,230400.0,0.0,0.0,32.159710235805456,2365191081.4190245,0.006371906845751732,12396161871.80138,0.03060979558835074,0.0
walmart,best_by_mean_val_r2,streed,4,20,,0.005,1e-05,0.001,230400.0,0.2020662598920003,254006200160.206,1763.5055669784547,231195126219.6793,0.2740097274316572,247843364001.00107,0.22168187029286407,16.0
