dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label
servo,outer_4,guide,4,134.0,3,10.0,,,0.4196602,1.0015779,0.005538,0.7388239,0.5958,1.890717,0.5683053,7.0,full
servo,outer_4,guide,4,134.0,3,12.0,,,0.4196602,1.0015779,0.010806,0.7388239,0.5958,1.890717,0.5683053,7.0,full
servo,outer_4,guide,4,134.0,3,14.0,,,0.4196602,1.0015779,0.010702,0.7388239,0.5958,1.890717,0.5683053,7.0,full
servo,outer_4,guide,4,134.0,3,16.0,,,0.4196602,1.0015779,0.010446,0.7388239,0.5958,1.890717,0.5683053,7.0,full
servo,mean,guide,4,,3,2.0,,,0.5332654800000001,1.0729351466666668,0.0087962,0.93194778,0.61168,1.11017774,0.48396314,2.0,full
servo,mean,guide,4,,3,4.0,,,0.5344041733333333,1.0706212333333334,0.010543,0.9235309199999999,0.61534,1.0966365599999999,0.49031734,4.0,full
servo,mean,guide,4,,3,6.0,,,0.5345652733333333,1.0702563999999999,0.009935,0.92346606,0.6154,1.09666318,0.49030182,6.0,full
servo,mean,guide,4,,3,8.0,,,0.5345589133333333,1.0702688533333333,0.008548,0.9234674999999999,0.6154,1.09613246,0.49062988,7.6,full
servo,mean,guide,4,,3,10.0,,,0.5345589133333333,1.0702688533333333,0.0082744,0.9234674999999999,0.6154,1.09613246,0.49062988,7.8,full
servo,mean,guide,4,,3,12.0,,,0.5345589133333333,1.0702688533333333,0.0106382,0.9234674999999999,0.6154,1.09613246,0.49062988,7.8,full
servo,mean,guide,4,,3,14.0,,,0.5345589133333333,1.0702688533333333,0.010565,0.9234674999999999,0.6154,1.09613246,0.49062988,7.8,full
servo,mean,guide,4,,3,16.0,,,0.5345589133333333,1.0702688533333333,0.010255,0.9234674999999999,0.6154,1.09613246,0.49062988,7.8,full
servo,std,guide,4,,3,2.0,,,0.07061668632342032,0.08170402626201952,0.002572150987014565,0.11786476157092923,0.027689474534559166,0.5337814545449411,0.1974567247597382,0.0,full
servo,std,guide,4,,3,4.0,,,0.06881867644716565,0.08560452813356972,0.0005293410998590609,0.1202816804801005,0.02720630441643996,0.529635949257802,0.19685949213034662,0.0,full
servo,std,guide,4,,3,6.0,,,0.0688782584669639,0.08503711934483864,0.0011019262679508096,0.12026872602473594,0.02722186621082396,0.5296463560322228,0.1968861461126379,0.0,full
servo,std,guide,4,,3,8.0,,,0.06888167305576198,0.08504573052054794,0.0028277917179311495,0.12027017366398453,0.02722186621082396,0.5293032269048508,0.19618455898660067,0.547722557505166,full
servo,std,guide,4,,3,10.0,,,0.06888167305576198,0.08504573052054794,0.0030316098528669557,0.12027017366398453,0.02722186621082396,0.5293032269048508,0.19618455898660067,0.8366600265340756,full
servo,std,guide,4,,3,12.0,,,0.06888167305576198,0.08504573052054794,0.001276413020930138,0.12027017366398453,0.02722186621082396,0.5293032269048508,0.19618455898660067,0.8366600265340756,full
servo,std,guide,4,,3,14.0,,,0.06888167305576198,0.08504573052054794,0.0012759784480938538,0.12027017366398453,0.02722186621082396,0.5293032269048508,0.19618455898660067,0.8366600265340756,full
servo,std,guide,4,,3,16.0,,,0.06888167305576198,0.08504573052054794,0.0013885247567112376,0.12027017366398453,0.02722186621082396,0.5293032269048508,0.19618455898660067,0.8366600265340756,full
servo,best_by_mean_val_r2,guide,4,,3,6.0,,,0.5345652733333333,1.0702563999999999,0.009935,0.92346606,0.6154,1.09666318,0.49030182,6.0,full
