dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
energe_c,outer_3,guide,4,5,3,2.0,,,-261.1847267333333,22822.906124000005,0.041584,4.668791,0.948,4.08672,0.9558964,2
energe_c,outer_3,guide,4,5,3,4.0,,,0.9628620333333334,3.3300183333333333,0.045583,2.776393,0.9691,3.238403,0.9650514,4
energe_c,outer_3,guide,4,5,3,6.0,,,0.9624743333333333,3.366932666666667,0.046317,2.383094,0.9734,2.706108,0.9707959,6
energe_c,outer_3,guide,4,5,3,8.0,,,0.9641831000000001,3.2140159999999995,0.045686,2.209071,0.9754,2.589217,0.9720574,8
energe_c,outer_3,guide,4,5,3,10.0,,,0.9627972333333333,3.3405539999999996,0.046459,2.148704,0.9761,2.55411,0.9724362,10
energe_c,outer_3,guide,4,5,3,12.0,,,0.9622934333333334,3.3867833333333337,0.046191,2.119833,0.9764,2.565017,0.9723185,12
energe_c,outer_3,guide,4,5,3,14.0,,,0.9420018,5.155693666666667,0.045344,2.11809,0.9764,2.562279,0.9723481,14
energe_c,outer_3,guide,4,5,3,16.0,,,0.9399775333333333,5.335135999999999,0.045619,2.117682,0.9764,2.562159,0.9723494,15
