dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label
energe_h,mean,guide,4,,3,2.0,,,-4293.40017028,434234.10741413326,0.04475,755921.5971752,0.96702,780078.1446339999,-7401.096052039999,2.0,full
energe_h,mean,guide,4,,3,4.0,,,-552.6973990066668,54844.985118726654,0.0423968,40961.694647719996,0.9883,38593.73934786,-411.4997217399999,4.0,full
energe_h,mean,guide,4,,3,6.0,,,0.99506838,0.4989182466666667,0.0441138,5268.77526018,0.9964000000000001,4745.16606106,-45.089489040000004,6.0,full
energe_h,mean,guide,4,,3,8.0,,,0.9965310199999999,0.3518929133333333,0.041656399999999996,0.27600532,0.9972799999999999,0.31315426,0.9968709199999999,8.0,full
energe_h,mean,guide,4,,3,10.0,,,0.9967509733333333,0.33034394666666667,0.0447546,0.24678658000000003,0.99756,0.28461188000000004,0.9971589200000001,9.2,full
energe_h,mean,guide,4,,3,12.0,,,0.9965845266666667,0.3469504133333333,0.0396564,0.22398464,0.99778,0.28903166,0.99711972,12.0,full
energe_h,mean,guide,4,,3,14.0,,,-23.099845493333333,2456.1312835133335,0.0411494,0.21834389999999998,0.9978400000000001,0.29929626000000004,0.9970165200000001,14.0,full
energe_h,mean,guide,4,,3,16.0,,,-23.104383,2456.594955286667,0.044344,0.21972284000000003,0.99786,0.30156856,0.99699478,15.0,full
energe_h,std,guide,4,,3,2.0,,,8143.60924226084,826252.5755336373,0.0014071810473425216,1577241.8730334155,0.005601517651494063,1637752.2862056526,15414.772386730452,0.0,full
energe_h,std,guide,4,,3,4.0,,,1238.0738332587284,122633.92307866708,0.003230872436355235,71274.1464624108,0.001798610574860531,69206.68672822403,742.9643218430914,0.0,full
energe_h,std,guide,4,,3,6.0,,,0.0016357781985274426,0.1671828057109037,0.0018499819458578514,11780.531133179733,0.0002549509756796901,10609.574558384702,103.04975789534059,0.0,full
energe_h,std,guide,4,,3,8.0,,,0.00029771212568139487,0.02777542304759928,0.0032583068148963512,0.022740324517297454,0.00022803508501980543,0.06445688260432705,0.0008350511942390079,0.0,full
energe_h,std,guide,4,,3,10.0,,,0.00023014318296796433,0.020192340950670174,0.0012124278535236655,0.015321366162552225,0.00018165902124588196,0.05606378767098241,0.0007322096264048939,0.44721359549995804,full
energe_h,std,guide,4,,3,12.0,,,0.00020794224278236937,0.020341038869809758,0.0043254645184072444,0.013498354834127016,0.00016431676725153863,0.06398159867636163,0.0007707268692604704,0.0,full
energe_h,std,guide,4,,3,14.0,,,53.86415782693856,5489.5614557022145,0.004134810128651617,0.014571216537578454,0.00016733200530679004,0.06591162139253594,0.0008025460746898331,0.0,full
energe_h,std,guide,4,,3,16.0,,,53.87155939619502,5490.316475541847,0.0020032114216926777,0.01755963909432651,0.0002073644135332624,0.06301654171793307,0.0007753362380283456,0.0,full
energe_h,best_by_mean_val_r2,guide,4,,3,10.0,,,0.9967509733333333,0.33034394666666667,0.0447546,0.24678658000000003,0.99756,0.28461188000000004,0.9971589200000001,9.2,full
