dataset,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_r2,test_r2,train_mse,test_mse,loss,train_time_s,n_leaves,outer
airfoil,claritree,5,0.001,3,20,20,quantile,1.0,0.016499220926267804,0.9623477913475385,0.007072810425148928,0.01275060251595466,0.42948201112232454,0.8205152018912892,542.1487174285265,0.0027495317702398102,0.5477225575051662,std
airfoil,claritree,5,0.003,3,20,20,quantile,1.0,0.01700588200039735,0.8976988118006352,0.014415255976476879,0.012046743942857777,0.7514016929570514,0.8041054945774743,773.1135497184346,0.002584149929176071,1.9493588689617927,std
airfoil,claritree,5,0.005,3,20,20,quantile,1.0,0.021508590363193632,1.1240955341870724,0.01601436941536111,0.01873616787960863,0.7270116611580053,1.8684056887833795,172.4907652631804,0.007553042543810173,2.701851217221259,std
airfoil,claritree,5,0.008,3,20,20,quantile,1.0,0.016307610301391964,0.9153947096794306,0.015896406535635323,0.03019572671191046,0.802311632040646,2.238697582667056,400.2163659023313,0.006527097961708935,1.8165902124584945,std
airfoil,claritree,5,0.01,3,20,20,quantile,1.0,0.01502840778038843,0.9277507750555539,0.011491521363470274,0.03226726943501406,0.4401355620808256,2.539458755756558,431.45950946872426,0.007311802344486877,0.547722557505166,std
airfoil,claritree,5,0.03,3,20,20,quantile,1.0,0.0239425607166317,1.3100888072312669,0.037178858133622816,0.027463516714286155,1.5563120461429936,2.786290179578894,749.2287552611646,0.010329944021200622,1.3416407864998738,std
airfoil,claritree,5,0.05,3,20,20,quantile,1.0,0.011110125192733696,0.3609857399484723,0.04639507491514979,0.0650241944713912,2.357929042273243,3.6249951460891343,1201.537325013661,0.006260958341490404,0.8944271909999159,std
airfoil,claritree,5,0.08,3,20,20,quantile,1.0,0.0194912010683407,1.3691913852013162,0.01034943143692539,0.03473034403492218,0.9227299851655891,2.5482330439735428,1317.5236967147496,0.005929335802891246,0.0,std
airfoil,claritree,5,0.1,3,20,20,quantile,1.0,0.0194912010683407,1.3691913852013162,0.01034943143692539,0.03473034403492218,0.9227299851655891,2.5482330439735428,1370.917517380521,0.00564227079272614,0.0,std
airfoil,claritree,5,0.001,3,20,20,quantile,1.0,0.670104871757497,15.63909065852153,0.7665595251203814,0.6709253857378045,11.103564446177742,15.627602293154201,15158.338930046952,0.17955508232116696,31.6,best_by_mean_val_r2
auction,claritree,5,0.0001,3,20,20,quantile,1.0,0.9308835776220882,7471911.584694343,0.9401991506577669,0.925663747537631,6426698.217084206,7788506.364446469,10905171463.34816,0.15611848831176756,22.8,mean
auction,claritree,5,0.0005,3,20,20,quantile,1.0,0.9309151531094857,7456579.077147773,0.9389297030060144,0.9234766971951117,6562954.099212887,8027569.111931346,12381953785.082016,0.1384275913238525,18.8,mean
auction,claritree,5,0.001,3,20,20,quantile,1.0,0.931984370539708,7341236.525952028,0.9367856195582702,0.9217523632859521,6796254.086930856,8196925.231550324,13921070876.936527,0.1349673748016357,16.0,mean
auction,claritree,5,0.003,3,20,20,quantile,1.0,0.9239775059158071,8196793.523494224,0.9347507896056134,0.9203524420589989,7012953.121707012,8357491.720417468,18532216587.9633,0.13120036125183104,13.4,mean
auction,claritree,5,0.005,3,20,20,quantile,1.0,0.9124123200732438,9496745.932516655,0.9238853356485709,0.9096594584476524,8197186.473693391,9482878.072433567,22711474033.084953,0.1261568546295166,10.6,mean
auction,claritree,5,0.008,3,20,20,quantile,1.0,0.8951727105639364,11338151.107033676,0.9115259352081754,0.8964256349590023,9528802.044871882,10926013.936271198,28219853491.105907,0.12449908256530759,9.0,mean
auction,claritree,5,0.01,3,20,20,quantile,1.0,0.8840470905538911,12543023.491055984,0.8971822399575385,0.8815222047178596,11067386.707525417,12555316.608910764,31090784722.35954,0.12215294837951658,7.4,mean
auction,claritree,5,0.03,3,20,20,quantile,1.0,0.8560697661819802,15542163.89747242,0.8541327910457619,0.8514752105765133,15684343.212077344,15797669.946684752,46734630920.96392,0.09737458229064938,4.0,mean
auction,claritree,5,0.05,3,20,20,quantile,1.0,0.8535656501670271,15792600.276246259,0.8541327910457619,0.8514752105765133,15684343.212077344,15797669.946684752,60801289349.82682,0.08962535858154293,4.0,mean
auction,claritree,5,0.08,3,20,20,quantile,1.0,0.8535656501670271,15792600.276246259,0.8541327910457619,0.8514752105765133,15684343.212077344,15797669.946684752,81901276993.12117,0.087974739074707,4.0,mean
auction,claritree,5,0.1,3,20,20,quantile,1.0,0.8535656501670271,15792600.276246259,0.8541327910457619,0.8514752105765133,15684343.212077344,15797669.946684752,95967935421.98405,0.08531327247619624,4.0,mean
auction,claritree,5,0.0001,3,20,20,quantile,1.0,0.006028953943307428,743692.2629836585,0.005289578743076655,0.03188414129751757,490987.62059694086,2590202.97936009,791054468.9699438,0.006798002128901358,3.2710854467592254,std
auction,claritree,5,0.0005,3,20,20,quantile,1.0,0.008141750314729546,943301.9070492681,0.005727239312060136,0.030488609795249696,540166.0239332697,2411883.361686109,791855396.7876285,0.010293714867066319,4.08656334834051,std
auction,claritree,5,0.001,3,20,20,quantile,1.0,0.009904589914387977,1149894.8140512651,0.004913698955094336,0.03278304185169632,479136.10879716754,2620113.049003482,847188518.8797537,0.008856897769721166,2.91547594742265,std
auction,claritree,5,0.003,3,20,20,quantile,1.0,0.00872167032616816,1005797.1419392347,0.00445946981521409,0.032626537597778144,376727.18694420555,2614358.3752940805,995998668.2486463,0.010950451180824196,2.1908902300206643,std
auction,claritree,5,0.005,3,20,20,quantile,1.0,0.011439215904856297,1329430.9995307694,0.00684244031459256,0.03626822898110416,873141.8088808154,2879003.20303347,1134103840.8508937,0.004782228664580911,1.3416407864998738,std
auction,claritree,5,0.008,3,20,20,quantile,1.0,0.007797576083553794,806031.1199558697,0.011129819133087807,0.037021777548115975,1306219.7696189887,3224042.9624894485,1078165871.3748403,0.005757030798311937,1.0000000000000002,std
auction,claritree,5,0.01,3,20,20,quantile,1.0,0.004309196635725046,514010.6587611467,0.008150923170417932,0.03117727056888745,987449.6389423239,2549103.8162328033,920771882.950328,0.005148902015437193,0.5477225575051663,std
auction,claritree,5,0.03,3,20,20,quantile,1.0,0.006735736805655356,672640.0117528096,0.006148301464446365,0.026832496380188475,470100.9294881604,1893114.771150865,743312201.4539104,0.005385198690431718,0.0,std
auction,claritree,5,0.05,3,20,20,quantile,1.0,0.006096309493247128,475121.92115854315,0.006148301464446365,0.026832496380188475,470100.9294881604,1893114.771150865,861563785.3561592,0.004044604610713872,0.0,std
auction,claritree,5,0.08,3,20,20,quantile,1.0,0.006096309493247128,475121.92115854315,0.006148301464446365,0.026832496380188475,470100.9294881604,1893114.771150865,1165935113.0916917,0.004188225911580415,0.0,std
auction,claritree,5,0.1,3,20,20,quantile,1.0,0.006096309493247128,475121.92115854315,0.006148301464446365,0.026832496380188475,470100.9294881604,1893114.771150865,1411538971.9984136,0.003908890939799248,0.0,std
auction,claritree,5,0.001,3,20,20,quantile,1.0,0.931984370539708,7341236.525952028,0.9367856195582702,0.9217523632859521,6796254.086930856,8196925.231550324,13921070876.936527,0.1349673748016357,16.0,best_by_mean_val_r2
auto_mpg,claritree,5,0.0001,3,20,20,quantile,1.0,0.7609620171184893,14.339375669959884,0.9447965681226757,0.7987671589591354,3.3533671427897334,12.279942250479865,1112.595582554437,0.11811184883117672,32.0,mean
auto_mpg,claritree,5,0.0005,3,20,20,quantile,1.0,0.767071767884802,14.0377803195869,0.9444372489937878,0.7987829185470794,3.376216398118752,12.17623192568886,1359.7979478210186,0.11828966140747069,31.6,mean
auto_mpg,claritree,5,0.001,3,20,20,quantile,1.0,0.7694433761055546,13.902967126398568,0.9429535605737296,0.80748924978158,3.4648051605863586,11.712671240524395,1665.8703469995385,0.11784296035766598,30.4,mean
auto_mpg,claritree,5,0.003,3,20,20,quantile,1.0,0.7789688552529187,13.249121318435872,0.9188104316758354,0.7861388581870364,4.9323286795855505,12.999972998442805,2564.5765044052046,0.11314907073974605,17.8,mean
auto_mpg,claritree,5,0.005,3,20,20,quantile,1.0,0.7826821544542639,13.068261202594835,0.9030601211172902,0.7724549672922942,5.88947217747438,13.797070070470118,3142.486586675505,0.11152215003967281,13.6,mean
auto_mpg,claritree,5,0.008,3,20,20,quantile,1.0,0.778910535719816,13.365833272002641,0.8855390056292146,0.7721485196156506,6.952087796757459,13.881387185310654,3796.4272240305377,0.10774931907653804,10.6,mean
auto_mpg,claritree,5,0.01,3,20,20,quantile,1.0,0.7813011672343347,13.25949417329548,0.8690593277518358,0.7739551813382227,7.955356026978732,13.767021675759924,4171.517653127507,0.10528569221496575,8.8,mean
auto_mpg,claritree,5,0.03,3,20,20,quantile,1.0,0.7433541923056877,15.486626577208497,0.81854754803242,0.74663630522092,11.036154108744636,15.347461253533107,6542.319574927869,0.07970881462097164,5.4,mean
auto_mpg,claritree,5,0.05,3,20,20,quantile,1.0,0.6815088306384324,19.218067000182618,0.7628127706533357,0.7164473890688582,14.390527005580253,17.199769821975035,8518.518116681087,0.06112742424011226,4.2,mean
auto_mpg,claritree,5,0.08,3,20,20,quantile,1.0,0.6240300011689286,22.699981774428018,0.6909225203044078,0.666531957117648,18.78035311047085,20.239766121485946,10460.590210721772,0.05109829902648923,3.0,mean
auto_mpg,claritree,5,0.1,3,20,20,quantile,1.0,0.6074392883013415,23.72717165509317,0.6725390520892,0.612651082389031,19.869361078097448,23.731234432071833,11573.323334339559,0.04465713500976558,2.8,mean
auto_mpg,claritree,5,0.0001,3,20,20,quantile,1.0,0.032523029293151345,1.8854404309401076,0.002712300928973318,0.05055819838199173,0.1877168177789949,3.778110949395732,60.18298709179793,0.003283050636730612,0.0,std
auto_mpg,claritree,5,0.0005,3,20,20,quantile,1.0,0.02434341850542113,1.4626065009649296,0.0047400934971225245,0.0574107400577299,0.3178250717487961,3.7698992583767166,106.13817993568873,0.006214058885747255,0.547722557505166,std
auto_mpg,claritree,5,0.001,3,20,20,quantile,1.0,0.036625122992377336,2.1798038055899838,0.004154822583097811,0.051381454169910946,0.2627742993862672,3.6238015553281246,96.05457525381077,0.006217477891934762,1.1401754250991378,std
auto_mpg,claritree,5,0.003,3,20,20,quantile,1.0,0.011468599235086818,0.7820541491631907,0.003928062778279003,0.04699386092523043,0.28207053577292546,3.421040972006314,173.1826965934261,0.005046784186421989,1.3038404810405295,std
auto_mpg,claritree,5,0.005,3,20,20,quantile,1.0,0.010271807087945273,0.7663571135449576,0.004037626407865783,0.03969508010644637,0.31104600730396464,3.008082608651442,145.27373005005228,0.00457895765083576,0.5477225575051662,std
auto_mpg,claritree,5,0.008,3,20,20,quantile,1.0,0.02290434611181138,1.593837969218047,0.007495002977882794,0.05986354337083575,0.4761234048970068,4.4112111113224985,164.50018095942417,0.004928543473220507,1.140175425099138,std
auto_mpg,claritree,5,0.01,3,20,20,quantile,1.0,0.012679759144342261,0.9100071114411104,0.018250350855525937,0.05242202761258894,1.1435139701162607,4.075736394179335,192.20760439157897,0.006736448100201737,1.7888543819998317,std
auto_mpg,claritree,5,0.03,3,20,20,quantile,1.0,0.018893788141522157,1.4623656683162929,0.02068028307112448,0.05087779386162336,1.4125070351136062,3.7638352514339695,273.25807550491135,0.006549575076147573,0.5477225575051663,std
auto_mpg,claritree,5,0.05,3,20,20,quantile,1.0,0.017367630533925236,1.342380747007107,0.049281831478282224,0.05136190463473217,2.891639895093583,3.9144113629872437,364.537928286675,0.0008594088632799701,0.8366600265340756,std
auto_mpg,claritree,5,0.08,3,20,20,quantile,1.0,0.019629875538201478,1.4631344762627336,0.018708187578142868,0.08409876661105471,1.320855174722898,6.06564605942784,468.10001831631155,0.0037242303881589237,0.0,std
auto_mpg,claritree,5,0.1,3,20,20,quantile,1.0,0.029263053945145733,2.152561148615686,0.027123367265204885,0.13766427707555998,1.3474222443249622,10.011434111766675,545.9667676556277,0.008105021271724888,0.4472135954999579,std
auto_mpg,claritree,5,0.005,3,20,20,quantile,1.0,0.7826821544542639,13.068261202594835,0.9030601211172902,0.7724549672922942,5.88947217747438,13.797070070470118,3142.486586675505,0.11152215003967281,13.6,best_by_mean_val_r2
energe_c,claritree,5,0.0001,3,20,20,quantile,1.0,0.9540121335815543,4.171565876318368,0.9715650199898137,0.9614681557335981,2.5697715145352737,3.462971479906521,1755.4319935137914,0.07402448654174801,31.8,mean
energe_c,claritree,5,0.0005,3,20,20,quantile,1.0,0.953827071744344,4.183203678801798,0.9701844695806834,0.9617301013250558,2.6943602651671643,3.4388831270038964,2410.5711317329997,0.07352232933044428,27.2,mean
energe_c,claritree,5,0.001,3,20,20,quantile,1.0,0.9534948539856979,4.217673305894302,0.9650163569690919,0.9571133665543112,3.1621596998539445,3.8598018451878637,3086.1192652237833,0.07362146377563472,20.6,mean
energe_c,claritree,5,0.003,3,20,20,quantile,1.0,0.9396006456685184,5.457824440886554,0.9497699265183985,0.9397301371638289,4.539838702169566,5.422943942066945,4787.564836240938,0.07005486488342282,12.0,mean
energe_c,claritree,5,0.005,3,20,20,quantile,1.0,0.933587950450496,5.99061020486559,0.9401577402302193,0.9319604774445619,5.405595010136871,6.126445245420308,5987.362979857511,0.06673111915588373,9.6,mean
energe_c,claritree,5,0.008,3,20,20,quantile,1.0,0.9159385859477602,7.564083320170633,0.9232333623927353,0.9179525586670685,6.936690546923022,7.390531165481015,7282.543751252934,0.061791133880615225,6.8,mean
energe_c,claritree,5,0.01,3,20,20,quantile,1.0,0.900010238500567,8.994158059729662,0.9030239462907504,0.8972917104859348,8.761844038751027,9.259498739796154,7938.28436868057,0.05591216087341304,4.6,mean
energe_c,claritree,5,0.03,3,20,20,quantile,1.0,0.8759726409333742,11.178289660918418,0.8778557565030031,0.876441280495529,11.037643857439337,11.128216720261184,11778.559660614217,0.03752784729003902,3.0,mean
energe_c,claritree,5,0.05,3,20,20,quantile,1.0,0.8759726409333742,11.178289660918418,0.8778557565030031,0.876441280495529,11.037643857439337,11.128216720261184,15109.818097165078,0.028973579406738236,3.0,mean
energe_c,claritree,5,0.08,3,20,20,quantile,1.0,0.8151255997067356,16.77550704163075,0.8194136013636639,0.8088798844953227,16.32258610345838,17.210524373913316,19798.295007879908,0.025123310089111277,2.2,mean
energe_c,claritree,5,0.1,3,20,20,quantile,1.0,0.8014031873854343,17.96217373295741,0.8024086370588537,0.8016313678506393,17.85556136699328,17.868488066610897,22074.76004223261,0.02436661720275874,2.0,mean
energe_c,claritree,5,0.0001,3,20,20,quantile,1.0,0.002776218996232538,0.2675622202351505,0.0009073223267597462,0.010188241325683339,0.09161429588691945,0.8698754677118916,58.08905229862386,0.002667552153092467,0.44721359549995765,std
energe_c,claritree,5,0.0005,3,20,20,quantile,1.0,0.003245056050453563,0.31240349511026644,0.0009782083784302248,0.008062661877115063,0.09219306278928642,0.6655244114286034,57.77641711344784,0.002363027199803747,0.8366600265340757,std
energe_c,claritree,5,0.001,3,20,20,quantile,1.0,0.004295035203718472,0.43022300825088117,0.0029400593572241405,0.0029400974246105607,0.27835345490482005,0.21727509680072213,58.95909115746006,0.004029236380695038,2.302172886644268,std
energe_c,claritree,5,0.003,3,20,20,quantile,1.0,0.003518685168704968,0.32890893952740063,0.0038782797504523904,0.0068337155682042195,0.36313370220605906,0.5585644403833193,86.4756526691254,0.004375317881494559,1.2247448713915892,std
energe_c,claritree,5,0.005,3,20,20,quantile,1.0,0.005759642667779861,0.5304232498083897,0.004739424269544497,0.010254042000632792,0.39526185800584485,0.9103677137216294,136.986513844871,0.004838352011337435,0.8944271909999161,std
energe_c,claritree,5,0.008,3,20,20,quantile,1.0,0.00701580671200986,0.6147878379809973,0.0036725081720665343,0.011635571242655825,0.3237189178182544,1.0562515147781246,137.3010294181787,0.00208160830654929,0.44721359549995804,std
energe_c,claritree,5,0.01,3,20,20,quantile,1.0,0.005850082345903648,0.5716893231619466,0.008802631539947536,0.014109590526782066,0.7815390249561093,1.3626131768300125,188.8174126774599,0.004598472951459223,0.8944271909999159,std
energe_c,claritree,5,0.03,3,20,20,quantile,1.0,0.0051108618840090235,0.4554859196918781,0.004371367839768822,0.017730727403010717,0.39742933089333016,1.62516741363424,259.24675687340243,0.0018417322235000084,0.0,std
energe_c,claritree,5,0.05,3,20,20,quantile,1.0,0.0051108618840090235,0.4554859196918781,0.004371367839768822,0.017730727403010717,0.39742933089333016,1.62516741363424,267.8417533314329,0.0011533195715873138,0.0,std
energe_c,claritree,5,0.08,3,20,20,quantile,1.0,0.019989837498141243,1.7490011461398778,0.03587535248106644,0.03251954939453608,3.2612512553058,2.946553954868278,323.774766514779,0.0009854808297600477,0.4472135954999579,std
energe_c,claritree,5,0.1,3,20,20,quantile,1.0,0.005789844195730231,0.5658960639774051,0.0055504610311994315,0.021962588182074017,0.5118430664622142,2.042015468666954,345.8038042794317,0.0011358442648382702,0.0,std
energe_c,claritree,5,0.0001,3,20,20,quantile,1.0,0.9540121335815543,4.171565876318368,0.9715650199898137,0.9614681557335981,2.5697715145352737,3.462971479906521,1755.4319935137914,0.07402448654174801,31.8,best_by_mean_val_r2
energe_h,claritree,5,0.0001,3,20,20,quantile,1.0,0.9929468095992501,0.7170835166090861,0.9955347847955759,0.995066699226577,0.4538687944956261,0.4971912691967001,473.64753027652876,0.07334132194519039,31.2,mean
energe_h,claritree,5,0.0005,3,20,20,quantile,1.0,0.9911511899772603,0.9014573029637869,0.9939153397600972,0.9929370615230066,0.61812520299845,0.7157383335765839,1173.2896486849074,0.07298874855041497,25.4,mean
energe_h,claritree,5,0.001,3,20,20,quantile,1.0,0.9877851385570798,1.2445210239896596,0.992293801579267,0.9915243491247866,0.783008110389958,0.8609747178255412,1905.4648084238543,0.07158637046813958,22.8,mean
energe_h,claritree,5,0.003,3,20,20,quantile,1.0,0.9708931817810603,2.9571054832398915,0.9754023648895032,0.970372249977253,2.5005125382860647,3.005486838452217,3934.92177999896,0.0725470066070556,12.8,mean
energe_h,claritree,5,0.005,3,20,20,quantile,1.0,0.9555026751794451,4.514247634729121,0.9667498251182947,0.9590623460012088,3.3834143474961196,4.1154520560969825,5386.865194642291,0.07278628349304195,10.6,mean
energe_h,claritree,5,0.008,3,20,20,quantile,1.0,0.9396763451017544,6.109802278317703,0.9474690578752922,0.9389899170827345,5.338943152511148,6.161704493759428,6978.104209861682,0.07027802467346186,7.4,mean
energe_h,claritree,5,0.01,3,20,20,quantile,1.0,0.930569173035084,7.036787518423362,0.9382296848289471,0.9308243042099603,6.27176771075623,7.013337392393195,7855.356577682098,0.06435780525207511,6.4,mean
energe_h,claritree,5,0.03,3,20,20,quantile,1.0,0.8884599523669733,11.303389358616066,0.8816116545347092,0.878873826527035,12.044589952868943,12.197089522901178,13389.462804015697,0.036969375610351504,3.2,mean
energe_h,claritree,5,0.05,3,20,20,quantile,1.0,0.8744972370100944,12.72154442714616,0.8755529814632137,0.8740556136910984,12.648656660884209,12.724746866113653,17140.812189750683,0.029628944396972622,3.0,mean
energe_h,claritree,5,0.08,3,20,20,quantile,1.0,0.8507534080949704,15.15783872520409,0.8596537208192986,0.8533553626275647,14.259394980571638,14.855957370348847,22756.173399601455,0.026098155975341757,2.8,mean
energe_h,claritree,5,0.1,3,20,20,quantile,1.0,0.7898697891383673,21.33270607137331,0.7911074418921931,0.7892512889420144,21.233304410703642,21.319747090492427,25538.298288918628,0.025201797485351517,2.0,mean
energe_h,claritree,5,0.0001,3,20,20,quantile,1.0,0.0011186609429718753,0.10796107452921676,0.00013334977506866062,0.0008270579880049627,0.012107551944901332,0.06274114459748067,9.58927897640159,0.001639248890300322,1.0954451150103324,std
energe_h,claritree,5,0.0005,3,20,20,quantile,1.0,0.001228566690790781,0.12326049392873394,0.0005660362046536633,0.001171691383809263,0.052325751785666584,0.12495810048378678,18.975812709299948,0.0016397066481169313,1.1401754250991383,std
energe_h,claritree,5,0.001,3,20,20,quantile,1.0,0.002434651406975606,0.23900729810122767,0.0005448456380471114,0.001175546791039133,0.04811461176559619,0.14655051410223374,33.72276426179622,0.0016238420670032405,0.44721359549995787,std
energe_h,claritree,5,0.003,3,20,20,quantile,1.0,0.0024062946790529595,0.2781431683534394,0.0029041858092215584,0.004167100880459762,0.2948978419964143,0.48348106705258714,80.60017497840128,0.009037654538907335,0.8366600265340758,std
energe_h,claritree,5,0.005,3,20,20,quantile,1.0,0.002416410772454519,0.2932932002775135,0.003869488517143006,0.011716146662803746,0.43433512868347474,1.0040146372665901,67.3580543810347,0.007375886035970105,0.8944271909999157,std
energe_h,claritree,5,0.008,3,20,20,quantile,1.0,0.0055579053335335785,0.5185031398354676,0.00479764181522203,0.00864804539385827,0.4791034107413358,0.7703688157554733,129.91552643233234,0.00417377395202582,0.5477225575051662,std
energe_h,claritree,5,0.01,3,20,20,quantile,1.0,0.0008468780556150459,0.14239371210264404,0.0063667074856681325,0.008204500032439806,0.553775658070808,0.9605426290174219,142.84469127460483,0.007562376338933842,0.547722557505166,std
energe_h,claritree,5,0.03,3,20,20,quantile,1.0,0.008024337723966143,0.8693766977324446,0.00943132001276009,0.026973176625468723,1.093424591270457,2.5081057975106296,243.95276406598364,0.0017702464495070026,0.4472135954999579,std
energe_h,claritree,5,0.05,3,20,20,quantile,1.0,0.004659792583495206,0.3856452973359386,0.004363124090052601,0.01645629766306523,0.36978123427624326,1.4904445412846494,276.5759302220953,0.0008815228071555667,0.0,std
energe_h,claritree,5,0.08,3,20,20,quantile,1.0,0.02591449532640806,2.6211146154371736,0.035585682700913016,0.04971538630036695,3.573954149662136,5.180629330787885,340.652718101685,0.001027379956074596,0.447213595499958,std
energe_h,claritree,5,0.1,3,20,20,quantile,1.0,0.004492303872043718,0.4095154990970634,0.004292950527852354,0.01653229684253032,0.3520923436004202,1.3911330006790064,342.28538880779456,0.0009399109031264918,0.0,std
energe_h,claritree,5,0.0001,3,20,20,quantile,1.0,0.9929468095992501,0.7170835166090861,0.9955347847955759,0.995066699226577,0.4538687944956261,0.4971912691967001,473.64753027652876,0.07334132194519039,31.2,best_by_mean_val_r2
insurance,claritree,5,0.0001,3,20,20,quantile,1.0,0.7863489399976322,31249817.40717247,0.883036338053464,0.8349619306498145,17118782.510371946,23815419.568566598,18822695150.279823,0.26799864768981935,31.8,mean
insurance,claritree,5,0.0005,3,20,20,quantile,1.0,0.793833291873787,30105205.67318495,0.8808899611502126,0.8361485987316991,17428177.545163415,23598292.59455643,20812426742.048035,0.268617057800293,27.4,mean
insurance,claritree,5,0.001,3,20,20,quantile,1.0,0.7980485378547891,29554932.72209503,0.877054723093958,0.8387163088779627,18000771.04014522,23133722.389056906,22689781299.787262,0.27109370231628416,21.8,mean
insurance,claritree,5,0.003,3,20,20,quantile,1.0,0.835436018192014,24179662.462989677,0.8551414226629184,0.8391755927051923,21211880.171292327,23215767.598767538,26563387361.745934,0.26436405181884765,8.2,mean
insurance,claritree,5,0.005,3,20,20,quantile,1.0,0.8369027378449936,23908270.314467017,0.8524090318506058,0.8357930258454547,21612848.443005845,23695188.518155627,28936289748.95515,0.26178297996520994,7.4,mean
insurance,claritree,5,0.008,3,20,20,quantile,1.0,0.8275285121307038,25267371.36394111,0.8388486584454128,0.8251811410134163,23607858.604245193,25114890.22292024,32030979945.317284,0.2552693367004394,5.4,mean
insurance,claritree,5,0.01,3,20,20,quantile,1.0,0.8233362543827616,25877723.241083495,0.8317557572031282,0.8200644801134898,24649063.582244895,25929164.190251343,33581950836.73036,0.25154476165771483,4.6,mean
insurance,claritree,5,0.03,3,20,20,quantile,1.0,0.8183401940923073,26620784.880398743,0.8251211382824974,0.819830827776831,25604438.91984833,25938835.104702476,46228256913.16344,0.2088566780090332,4.0,mean
insurance,claritree,5,0.05,3,20,20,quantile,1.0,0.8183401940923073,26620784.880398743,0.8251211382824974,0.819830827776831,25604438.91984833,25938835.104702476,58775802705.97194,0.17647066116333004,4.0,mean
insurance,claritree,5,0.08,3,20,20,quantile,1.0,0.7574512321909543,35505833.23291196,0.761880867847422,0.758109041984244,34861259.68051867,34850839.833973765,74958309341.23988,0.12905740737915034,3.0,mean
insurance,claritree,5,0.1,3,20,20,quantile,1.0,0.7574512321909543,35505833.23291196,0.761880867847422,0.758109041984244,34861259.68051867,34850839.833973765,84368968685.84627,0.12261424064636225,3.0,mean
insurance,claritree,5,0.0001,3,20,20,quantile,1.0,0.025329110238410314,3590525.6945721633,0.009153921878931128,0.038242261629179715,1195986.7091785916,5132029.55089247,1278025888.5766563,0.010808362393942285,0.44721359549995765,std
insurance,claritree,5,0.0005,3,20,20,quantile,1.0,0.022172537967057336,3123054.6889166804,0.010370470070884442,0.04040688956123675,1308130.0379885905,5319606.0100714555,1293657870.1283758,0.012594699792596921,4.505552130427524,std
insurance,claritree,5,0.001,3,20,20,quantile,1.0,0.013091265139795886,2196707.48842936,0.008937284310041371,0.04642052141564414,1275853.4652425414,5859942.965975543,1266798404.984063,0.009484489904463317,1.4832396974191326,std
