dataset,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_r2,test_r2,train_mse,test_mse,loss,train_time_s,n_leaves,outer
airfoil,claritree,5,0.0001,3,20,20,quantile,1.0,0.6681166346172361,15.734194960152234,0.7658553827173747,0.6724529224990747,11.137300102844657,15.554412455687913,13574.590853007689,0.17902975082397457,32.0,mean
airfoil,claritree,5,0.0005,3,20,20,quantile,1.0,0.6698522834113917,15.651493549188881,0.765757744315611,0.6722480911686267,11.141841574375439,15.565006047116487,14306.42456216107,0.17830486297607417,31.8,mean
airfoil,claritree,5,0.001,3,20,20,quantile,1.0,0.670104871757497,15.63909065852153,0.7665595251203814,0.6709253857378045,11.103564446177742,15.627602293154201,15158.338930046952,0.17955508232116696,31.6,mean
airfoil,claritree,5,0.003,3,20,20,quantile,1.0,0.6667901404037687,15.793912928257237,0.756901184253392,0.6758379650561099,11.563593828725093,15.395038577506416,18810.15858659808,0.1800998210906982,28.6,mean
airfoil,claritree,5,0.005,3,20,20,quantile,1.0,0.6454139392095762,16.81071837847481,0.7259797345047947,0.6389503101930792,13.029047996611109,17.198909715637765,22357.030912550756,0.18390574455261227,23.4,mean
airfoil,claritree,5,0.008,3,20,20,quantile,1.0,0.6095236910123075,18.49290169538909,0.673590251255316,0.5906461880390483,15.52396917323325,19.486841096209353,26166.999113234066,0.196092939376831,16.4,mean
airfoil,claritree,5,0.01,3,20,20,quantile,1.0,0.5982436462980193,19.03649941161417,0.6533617329018939,0.5692374540053461,16.48141201867792,20.522022547823262,28054.788102143717,0.19893846511840815,14.4,mean
airfoil,claritree,5,0.03,3,20,20,quantile,1.0,0.4681568846447714,25.206097920219015,0.5052764380490464,0.4689860394625359,23.51359052525017,25.304866586687623,39613.62448886762,0.18694920539855953,6.6,mean
airfoil,claritree,5,0.05,3,20,20,quantile,1.0,0.3710751322103186,29.857618451443056,0.37782385471460117,0.33379693461222615,29.59574456016552,31.6599239669337,45306.2827534397,0.17944211959838866,3.4,mean
airfoil,claritree,5,0.08,3,20,20,quantile,1.0,0.32868485101548767,31.888110249276885,0.3547164597949067,0.3182791874139229,30.69369452294644,32.40029090133336,50630.38996396037,0.17178297042846674,3.0,mean
airfoil,claritree,5,0.1,3,20,20,quantile,1.0,0.32868485101548767,31.888110249276885,0.3547164597949067,0.3182791874139229,30.69369452294644,32.40029090133336,54061.479385899846,0.16486601829528805,3.0,mean
airfoil,claritree,5,0.0001,3,20,20,quantile,1.0,0.01498955875247876,0.8760320159939238,0.007278856753412879,0.011682126245439533,0.4448147264127723,0.7684614183861185,540.312109365073,0.004774772396330139,0.0,std
airfoil,claritree,5,0.0005,3,20,20,quantile,1.0,0.01692717867418197,0.9849718391683281,0.007204034699735307,0.01127809737857811,0.43899558590866666,0.7761591648634956,548.9618455529143,0.005056613307953239,0.44721359549995765,std
