dataset,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_r2,test_r2,train_mse,test_mse,loss,train_time_s,n_leaves,outer,n_outer_merged,cost_complexity,ridge_penalty,lasso_penalty,pilot_grid_index,pilot_target_complexity,pilot_min_sample_leaf,pilot_min_sample_split,threshold_label
airfoil,claritree,4,0.0001,1e-05,3,5,quantile,0.0,0.875976429439641,5.899391529988222,0.9235018412810664,0.8962304458166421,3.6377527387686923,4.946242853633612,4706.536326357971,0.27396326065063475,16.0,mean,5,,,,,,,,5
airfoil,claritree,4,0.0001,0.0001,3,5,quantile,0.0,0.8654236494705202,6.3960659230624115,0.9106308354757335,0.8809621849888346,4.250030871596325,5.65012315216638,5633.919325182959,0.27440571784973145,16.0,mean,5,,,,,,,,5
airfoil,claritree,4,0.0001,0.001,3,5,quantile,0.0,0.8470609652396615,7.268085552737013,0.896673168386928,0.8716089453380966,4.914451101695858,6.102425532121469,7106.696732075854,0.27385663986206055,16.0,mean,5,,,,,,,,5
airfoil,claritree,4,0.0001,0.01,3,5,quantile,0.0,0.8121444891033459,8.92325661179721,0.8530477220544755,0.8218357805613742,6.988397003456399,8.459261519764578,10779.870231359413,0.26630287170410155,15.4,mean,5,,,,,,,,5
airfoil,claritree,4,0.0001,0.1,3,5,quantile,0.0,0.695511634392536,14.44122491937011,0.7419754531148356,0.7024308212351682,12.273372729578796,14.098683323613319,17550.783344160354,0.26736783981323237,15.6,mean,5,,,,,,,,5
airfoil,claritree,4,0.0005,1e-05,3,5,quantile,0.0,0.8766313064684639,5.868285516413545,0.9229916918075863,0.8947932782997808,3.661992537212727,5.014811525044484,5099.856179323406,0.27289376258850095,16.0,mean,5,,,,,,,,5
airfoil,claritree,4,0.0005,0.0001,3,5,quantile,0.0,0.8656784077974791,6.384227967594661,0.9106308354757335,0.8809621849888346,4.250030871596325,5.65012315216638,5999.902196856503,0.27392435073852534,16.0,mean,5,,,,,,,,5
airfoil,claritree,4,0.0005,0.001,3,5,quantile,0.0,0.8465564311817919,7.292419638242575,0.896673168386928,0.8716089453380966,4.914451101695858,6.102425532121469,7472.679603749399,0.27503895759582514,16.0,mean,5,,,,,,,,5
airfoil,claritree,4,0.0005,0.01,3,5,quantile,0.0,0.8009043861358931,9.467773736554186,0.8532755090615366,0.8228393224562816,6.97730624396001,8.4160605512404,11123.979114080565,0.26779007911682123,15.4,mean,5,,,,,,,,5
airfoil,claritree,4,0.0005,0.1,3,5,quantile,0.0,0.6959299080562993,14.421294722501651,0.7419131654659514,0.7023129407492611,12.276325190827542,14.10436144353064,17906.97837072042,0.27060232162475584,15.4,mean,5,,,,,,,,5
airfoil,claritree,4,0.001,1e-05,3,5,quantile,0.0,0.8770923695134265,5.844770518576974,0.9229916918075863,0.8947932782997808,3.661992537212727,5.014811525044484,5557.334768915335,0.27246994972229,16.0,mean,5,,,,,,,,5
airfoil,claritree,4,0.001,0.0001,3,5,quantile,0.0,0.8638211731689257,6.468702328677104,0.9106308354757335,0.8809621849888346,4.250030871596325,5.65012315216638,6457.380786448433,0.27387065887451173,16.0,mean,5,,,,,,,,5
airfoil,claritree,4,0.001,0.001,3,5,quantile,0.0,0.8435990439401623,7.434152613151312,0.8967629047053259,0.8716095847110872,4.910172771192439,6.102395429659621,7927.1870716480935,0.27463974952697756,15.8,mean,5,,,,,,,,5
airfoil,claritree,4,0.001,0.01,3,5,quantile,0.0,0.8004232545536331,9.490210582069645,0.8522619338922028,0.8220675614859099,7.025728710812572,8.451727784613645,11560.45351940606,0.26857790946960447,14.6,mean,5,,,,,,,,5
airfoil,claritree,4,0.001,0.1,3,5,quantile,0.0,0.6945248602941843,14.484379187028178,0.7418735482299535,0.7023885787408986,12.278214009449227,14.1008003144378,18346.38466013399,0.2672114372253418,15.2,mean,5,,,,,,,,5
airfoil,claritree,4,0.003,1e-05,3,5,quantile,0.0,0.8690335457371534,6.2169441438947874,0.916333484001416,0.8915702252695062,3.9800392758312597,5.163052440738831,7282.742076818553,0.27120366096496584,13.4,mean,5,,,,,,,,5
airfoil,claritree,4,0.003,0.0001,3,5,quantile,0.0,0.8590755227037388,6.69768676700847,0.9060351899944121,0.872578737846035,4.4710439249988285,6.019747666734997,8153.995250608132,0.27222371101379395,13.6,mean,5,,,,,,,,5
airfoil,claritree,4,0.003,0.001,3,5,quantile,0.0,0.8432262911284116,7.45739175783537,0.8915138238587461,0.8593449219238659,5.161122922773811,6.678228474175681,9650.614822856965,0.27176971435546876,14.2,mean,5,,,,,,,,5
airfoil,claritree,4,0.003,0.01,3,5,quantile,0.0,0.7931068829047199,9.837962830435284,0.8459839630316173,0.8177501578849039,7.327050675503706,8.652801829419474,13100.804822053424,0.2637385845184326,12.4,mean,5,,,,,,,,5
airfoil,claritree,4,0.003,0.1,3,5,quantile,0.0,0.6946782213286692,14.488066600982611,0.745463406956234,0.7000766041647449,12.109666642479016,14.206525776425082,20193.81343275388,0.274524974822998,13.8,mean,5,,,,,,,,5
airfoil,claritree,4,0.005,1e-05,3,5,quantile,0.0,0.8601999428303975,6.626194127519328,0.9104038135865625,0.8828747579859222,4.261509806296123,5.55293301123361,8803.65098235655,0.26666588783264156,12.2,mean,5,,,,,,,,5
airfoil,claritree,4,0.005,0.0001,3,5,quantile,0.0,0.8512739990379125,7.074101822831606,0.8960984914806147,0.8582473464891377,4.942956093139535,6.706701173366689,9679.256179525886,0.2682924270629883,11.2,mean,5,,,,,,,,5
airfoil,claritree,4,0.005,0.001,3,5,quantile,0.0,0.8370074449264244,7.753698655151065,0.8818180582139152,0.8501779600453869,5.622403932110123,7.115473039352677,11138.906966854647,0.27201104164123535,12.0,mean,5,,,,,,,,5
airfoil,claritree,4,0.005,0.01,3,5,quantile,0.0,0.7997639863840492,9.498554368019278,0.8329231787425682,0.806488400921985,7.94235635521824,9.20976817736005,14305.98516932764,0.27410998344421383,10.2,mean,5,,,,,,,,5
airfoil,claritree,4,0.005,0.1,3,5,quantile,0.0,0.701821081233075,14.148767907505553,0.7461374910580123,0.7012692995316042,12.075141401916222,14.17221382603772,21714.02709207546,0.27657079696655273,11.0,mean,5,,,,,,,,5
airfoil,claritree,4,0.008,1e-05,3,5,quantile,0.0,0.8449391206767171,7.358236848886437,0.8945933833026711,0.8657216914078638,5.013622230371806,6.358724448638167,10762.02953877665,0.2631721496582031,10.0,mean,5,,,,,,,,5
airfoil,claritree,4,0.008,0.0001,3,5,quantile,0.0,0.8355276590892886,7.8142294078388685,0.8799150460073829,0.8522615562551419,5.712565796608265,6.991745438393762,11646.231637303947,0.26488842964172366,9.2,mean,5,,,,,,,,5
airfoil,claritree,4,0.008,0.001,3,5,quantile,0.0,0.8244938808799848,8.33927642493216,0.8539285596050409,0.8317561712857164,6.949284118581201,7.996204048671355,12898.224596140954,0.2711030483245849,8.4,mean,5,,,,,,,,5
airfoil,claritree,4,0.008,0.01,3,5,quantile,0.0,0.7917173249137369,9.873800151131803,0.8122681663412411,0.7908495766576926,8.92451224021389,9.948009096899254,15767.62941986221,0.2748675823211669,7.2,mean,5,,,,,,,,5
airfoil,claritree,4,0.008,0.1,3,5,quantile,0.0,0.7020028437933246,14.140693356505519,0.7404181609394257,0.6958021042236429,12.352239732884325,14.407421037618198,23419.471187413183,0.27685856819152826,8.4,mean,5,,,,,,,,5
airfoil,claritree,4,0.01,1e-05,3,5,quantile,0.0,0.8369736526713352,7.7333651166885975,0.8861012199138681,0.8574701747505553,5.417481158974246,6.750740453973475,11927.642515193638,0.2579057693481445,9.2,mean,5,,,,,,,,5
airfoil,claritree,4,0.01,0.0001,3,5,quantile,0.0,0.8336598639430697,7.905850071856091,0.8715226846607955,0.8470856614501046,6.111316593217848,7.262961251504062,12639.140151796175,0.2599151611328125,8.4,mean,5,,,,,,,,5
