dataset,method,depth,lambda,kappa,cv_folds,thresholds_strategy,min_leaf_node_size,threshold_label,val_r2,val_mse,train_r2,test_r2,train_mse,test_mse,loss,train_time_s,n_leaves,outer,n_outer_merged,n_thresholds,cost_complexity,ridge_penalty,lasso_penalty,pilot_grid_index,pilot_target_complexity,pilot_min_sample_leaf,pilot_min_sample_split
airfoil,claritree,4,0.0001,1e-05,3,quantile,0.0,full,0.8749345197750309,5.9436415948774854,0.928575515545597,0.886363543541299,3.395546615547061,5.404222456075381,4387.798986075164,1.5991262912750244,16.0,mean,5,,,,,,,,
airfoil,claritree,4,0.0001,0.0001,3,quantile,0.0,full,0.861703967632954,6.568220106714179,0.9201672260609796,0.8811897623804977,3.7965943485171025,5.640683172127133,5171.317207886398,1.6884074687957764,16.0,mean,5,,,,,,,,
airfoil,claritree,4,0.0001,0.001,3,quantile,0.0,full,0.8453289371449916,7.352379612634744,0.8983898096634201,0.8569205690597052,4.833018748615359,6.785097054685778,6828.048180672641,1.5884056091308594,16.0,mean,5,,,,,,,,
airfoil,claritree,4,0.0001,0.01,3,quantile,0.0,full,0.8067118137177569,9.147655639747237,0.8627512782277957,0.8320313981566534,6.526616986166505,8.006758681135722,10162.264665713175,1.7182147979736329,15.0,mean,5,,,,,,,,
airfoil,claritree,4,0.0001,0.1,3,quantile,0.0,full,0.6933583601807075,14.526016329411604,0.7561533860655775,0.6837758255307166,11.599856043494103,15.04236596441586,16499.4224577574,1.7237208843231202,15.4,mean,5,,,,,,,,
airfoil,claritree,4,0.0005,1e-05,3,quantile,0.0,full,0.8732784643215563,6.017086928382911,0.928575515545597,0.886363543541299,3.395546615547061,5.404222456075381,4753.781857748708,1.6001415729522706,16.0,mean,5,,,,,,,,
airfoil,claritree,4,0.0005,0.0001,3,quantile,0.0,full,0.8600325389270737,6.64189709319123,0.9201672260609796,0.8811897623804977,3.7965943485171025,5.640683172127133,5537.300079559942,1.6862713813781738,16.0,mean,5,,,,,,,,
airfoil,claritree,4,0.0005,0.001,3,quantile,0.0,full,0.8502234459435998,7.109650544142065,0.8983898096634201,0.8569205690597052,4.833018748615359,6.785097054685778,7194.031052346186,1.5876479625701905,16.0,mean,5,,,,,,,,
airfoil,claritree,4,0.0005,0.01,3,quantile,0.0,full,0.8060536304217539,9.178918697755071,0.8627512782277957,0.8320313981566534,6.526616986166505,8.006758681135722,10505.486507040008,1.716364049911499,15.0,mean,5,,,,,,,,
airfoil,claritree,4,0.0005,0.1,3,quantile,0.0,full,0.695304489298915,14.429658485830709,0.7619787638304386,0.6898996924991433,11.32212132214242,14.754046822806577,16959.87670099655,1.703838300704956,14.6,mean,5,,,,,,,,
airfoil,claritree,4,0.001,1e-05,3,quantile,0.0,full,0.8732128152096228,6.020200931378847,0.928575515545597,0.886363543541299,3.395546615547061,5.404222456075381,5211.260447340637,1.5988260746002196,16.0,mean,5,,,,,,,,
airfoil,claritree,4,0.001,0.0001,3,quantile,0.0,full,0.859176234613855,6.686344242890781,0.9201672260609796,0.8811897623804977,3.7965943485171025,5.640683172127133,5994.778669151872,1.6958093166351318,16.0,mean,5,,,,,,,,
airfoil,claritree,4,0.001,0.001,3,quantile,0.0,full,0.8497559358877773,7.13201529460059,0.8989508817864879,0.8628097901336412,4.80570061463853,6.531574949093475,7639.3240906279725,1.638843822479248,15.8,mean,5,,,,,,,,
airfoil,claritree,4,0.001,0.01,3,quantile,0.0,full,0.806320971507113,9.169784331715048,0.8619174093189892,0.8340459711602989,6.567022426952805,7.90858246443176,10918.901456405438,1.6631898403167724,14.6,mean,5,,,,,,,,
airfoil,claritree,4,0.001,0.1,3,quantile,0.0,full,0.6956954999443674,14.409519004876046,0.7614690788940681,0.6907843951809194,11.346280606537688,14.711432068722036,17375.39601196405,1.7086742401123047,14.4,mean,5,,,,,,,,
airfoil,claritree,4,0.003,1e-05,3,quantile,0.0,full,0.8677969729690448,6.28765544135503,0.9262765057731697,0.8859453916483329,3.5040451043196534,5.424101941824331,6923.189142291255,1.6751722812652587,14.6,mean,5,,,,,,,,
airfoil,claritree,4,0.003,0.0001,3,quantile,0.0,full,0.8537116086856005,6.946636909624999,0.911227436396881,0.8727356989629526,4.220072259974638,6.03346057191024,7916.37839946638,1.6961148738861085,13.4,mean,5,,,,,,,,
airfoil,claritree,4,0.003,0.001,3,quantile,0.0,full,0.8361906404313778,7.79243435597518,0.8954425829930377,0.855351231861437,4.972010200366237,6.884869405395193,9324.141540264849,1.6463430404663086,14.4,mean,5,,,,,,,,
airfoil,claritree,4,0.003,0.01,3,quantile,0.0,full,0.8058991515466231,9.198462769341603,0.8550841465828489,0.8309900189939409,6.893124681945414,8.05232582455036,12451.239691329753,1.6804333686828614,12.0,mean,5,,,,,,,,
airfoil,claritree,4,0.003,0.1,3,quantile,0.0,full,0.7087762625891909,13.789316903641907,0.7782871716310975,0.7387816686315658,10.545609848901561,12.448830003490844,19023.06455463707,1.7541311740875245,11.4,mean,5,,,,,,,,
airfoil,claritree,4,0.005,1e-05,3,quantile,0.0,full,0.8574500674110588,6.778071551106582,0.9132587044417388,0.8785629159080184,4.1244314086735265,5.771531433019516,8438.992782781284,1.7156539916992188,11.6,mean,5,,,,,,,,
airfoil,claritree,4,0.005,0.0001,3,quantile,0.0,full,0.8457162120621391,7.330617477454217,0.9056748405973994,0.869414088051942,4.484451147449381,6.201052816343308,9359.12742030234,1.7236671924591065,12.0,mean,5,,,,,,,,
airfoil,claritree,4,0.005,0.001,3,quantile,0.0,full,0.8319885279057383,7.989747293585516,0.8804107247063145,0.8391870085796628,5.687970889828248,7.659653872934811,10916.72811713361,1.711458110809326,11.4,mean,5,,,,,,,,
airfoil,claritree,4,0.005,0.01,3,quantile,0.0,full,0.8014671194993243,9.413362941050192,0.8503522231646438,0.820910449792722,7.114537079771017,8.567228753210902,13763.347555889306,1.7333544731140136,10.8,mean,5,,,,,,,,
airfoil,claritree,4,0.005,0.1,3,quantile,0.0,full,0.7219029544484363,13.19410669032359,0.7748966574593487,0.7331371872184275,10.707993573071429,12.707424507948945,20342.315196431064,1.7603163719177246,10.6,mean,5,,,,,,,,
airfoil,claritree,4,0.008,1e-05,3,quantile,0.0,full,0.8459658805576187,7.332964936695662,0.8930781603186297,0.8575199120315308,5.081690095354065,6.772422448750261,10406.164263047389,1.648209238052368,9.0,mean,5,,,,,,,,
airfoil,claritree,4,0.008,0.0001,3,quantile,0.0,full,0.8384066333689317,7.683429967232437,0.8818548252965602,0.8530763903807909,5.616167394723015,6.993626231582809,11238.757054577824,1.7168686389923096,8.6,mean,5,,,,,,,,
airfoil,claritree,4,0.008,0.001,3,quantile,0.0,full,0.8222932985283933,8.446789383320226,0.8612965856074626,0.8271126033614051,6.594311755357178,8.257078105067592,12599.618689058467,1.7155712127685547,8.6,mean,5,,,,,,,,
